date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/5/98,"Truly Madly Deeply, Savage Garden",Truly Madly Deeply,Savage Garden,0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12,277267,3.8409090909090913
9/6/97,"How Do I Live, LeAnn Rimes",How Do I Live,LeAnn Rimes,0.577,0.462,2,-7.989,1,0.0279,0.128,0,0.0822,0.258,128.303,266973,3.516248153618907
9/5/98,"Too Close, Next",Too Close,Next,0.847,0.402,7,-9.952,1,0.0641,0.0118,0,0.283,0.752,99.693,259440,3.364071856287425
9/4/99,"Smooth, Santana",Smooth,Santana,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,294987,3.298039215686275
9/4/93,"Whoomp! (There It Is), Tag Team",Whoomp! (There It Is),Tag Team,0.798,0.639,4,-7.391,0,0.0424,0.00141,0,0.0836,0.421,129.443,225267,3.045112781954887
8/9/97,"Un-Break My Heart, Toni Braxton",Un-Break My Heart,Toni Braxton,0.625,0.426,2,-8.4,0,0.0271,0.412,0,0.116,0.112,110.021,270333,2.9647058823529413
9/5/98,"The Boy Is Mine, Brandy",The Boy Is Mine,Brandy,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,294787,2.892857142857143
9/5/98,"The First Night, Monica",The First Night,Monica,0.671,0.766,1,-9.218,0,0.0634,0.139,0,0.26,0.906,152.088,235573,2.875
6/1/96,"One Sweet Day, Mariah Carey",One Sweet Day,Mariah Carey,0.568,0.495,1,-8.964,1,0.0299,0.353,0,0.0839,0.303,128.234,281067,2.782442748091603
9/7/96,"It's All Coming Back To Me Now, Celine Dion",It's All Coming Back To Me Now,Celine Dion,0.384,0.438,0,-9.149,1,0.0362,0.753,0,0.101,0.287,87.903,456867,2.7777777777777777
8/5/00,"Maria Maria, Santana",Maria Maria,Santana,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,2.4761904761904763
9/6/97,"You Make Me Wanna..., Usher",You Make Me Wanna...,Usher,0.761,0.639,5,-7.577,0,0.0539,0.0359,0,0.0945,0.922,164.088,219120,2.4654017857142856
