date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/1/71,"Knock Three Times, Dawn",Knock Three Times,Dawn,0.774,0.58,1.0,-10.08,1.0,0.0512,0.158,0.0,0.0458,0.923,123.127,176704.0,2.511627906976744
9/1/71,"One Less Bell To Answer, The 5th Dimension",One Less Bell To Answer,The 5th Dimension,0.398,0.405,11.0,-6.664,0.0,0.0258,0.737,4.97e-05,0.131,0.443,99.694,210760.0,1.8
9/1/71,"Groove Me, King Floyd",Groove Me,King Floyd,0.908,0.421,11.0,-9.382,1.0,0.0648,0.26,0.00065,0.0805,0.861,102.977,183267.0,1.7857142857142858
8/11/80,"Lady, Kenny Rogers",Lady,Kenny Rogers,0.362,0.183,3.0,-16.0,0.0,0.0347,0.861,0.000234,0.0932,0.2,136.646,231867.0,1.7244897959183674
8/11/80,"Another One Bites The Dust, Queen",Another One Bites The Dust,Queen,0.933,0.528,5.0,-6.472,0.0,0.162,0.112,0.329,0.163,0.756,109.975,214653.0,1.7167381974248928
8/11/80,"Woman In Love, Barbra Streisand",Woman In Love,Barbra Streisand,0.469,0.278,3.0,-16.311,0.0,0.028,0.248,0.000126,0.133,0.331,169.735,231840.0,1.553763440860215
8/4/78,"How Deep Is Your Love, Bee Gees",How Deep Is Your Love,Bee Gees,0.633,0.357,5.0,-9.366,0.0,0.0264,0.105,0.0,0.133,0.674,104.938,245200.0,1.546875
9/1/71,"Black Magic Woman, Santana",Black Magic Woman,Santana,0.489,0.349,2.0,-14.295,0.0,0.0323,0.676,0.0789,0.0866,0.622,124.348,196467.0,1.4444444444444444
9/1/71,"Rose Garden, Lynn Anderson",Rose Garden,Lynn Anderson,0.589,0.501,0.0,-11.665,1.0,0.031,0.168,0.0,0.0741,0.969,131.064,175867.0,1.3783783783783783
8/10/77,"You Light Up My Life, Debby Boone",You Light Up My Life,Debby Boone,0.333,0.367,2.0,-10.06,1.0,0.0291,0.831,1.19e-05,0.262,0.0685,77.986,216287.0,1.3528138528138527
8/5/71,"Joy To The World, Three Dog Night",Joy To The World,Three Dog Night,0.649,0.679,2.0,-12.515,1.0,0.0316,0.464,0.00121,0.339,0.971,126.867,220573.0,1.3317972350230414
8/9/73,"Let's Get It On, Marvin Gaye",Let's Get It On,Marvin Gaye,0.541,0.647,3.0,-9.715,1.0,0.0599,0.0948,4.3e-06,0.0576,0.642,168.809,291360.0,1.3223443223443223
9/1/71,"Stoney End, Barbra Streisand",Stoney End,Barbra Streisand,0.504,0.656,0.0,-13.219,1.0,0.0466,0.0249,2.07e-05,0.154,0.826,120.994,177373.0,1.2857142857142856
9/1/71,"For The Good Times, Ray Price",For The Good Times,Ray Price,0.352,0.204,3.0,-15.414,1.0,0.0311,0.76,0.000426,0.327,0.524,83.342,227787.0,1.263157894736842
9/7/77,"I Just Want To Be Your Everything, Andy Gibb",I Just Want To Be Your Everything,Andy Gibb,0.651,0.648,9.0,-7.44,1.0,0.0346,0.167,1.7e-05,0.192,0.868,97.017,225667.0,1.248051948051948
8/4/78,"Night Fever, Bee Gees",Night Fever,Bee Gees,0.733,0.795,1.0,-7.224,0.0,0.0249,0.0266,0.000948,0.083,0.892,109.122,212253.0,1.2121212121212122
