date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/29/07,"No One, Alicia Keys",No One,Alicia Keys,0.641,0.552,1,-5.423,0,0.0283,0.027,4.63e-06,0.148,0.152,90.098,254524,3.0851926977687625
9/5/09,"I Gotta Feeling, The Black Eyed Peas",I Gotta Feeling,The Black Eyed Peas,0.757,0.525,7,-7.258,1,0.0269,0.0162,0,0.0813,0.477,128.01,247500,3.0654936461388074
9/4/04,"Yeah!, Usher",Yeah!,Usher,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,250373,2.781593406593407
9/4/10,"Dynamite, Taio Cruz",Dynamite,Taio Cruz,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,203867,2.770318021201413
9/4/10,"DJ Got Us Fallin' In Love, Usher",DJ Got Us Fallin' In Love,Usher,0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,220800,2.674033149171271
9/27/08,"Love Story, Taylor Swift",Love Story,Taylor Swift,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,235767,2.6501103752759385
3/31/01,"With Arms Wide Open, Creed",With Arms Wide Open,Creed,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,274800,2.6223175965665235
9/4/04,"If I Ain't Got You, Alicia Keys",If I Ain't Got You,Alicia Keys,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707,2.5974025974025974
9/6/08,"I'm Yours, Jason Mraz",I'm Yours,Jason Mraz,0.698,0.45,11,-8.784,1,0.0442,0.571,0,0.113,0.68,150.999,242040,2.575122603655818
9/4/10,"Teenage Dream, Katy Perry",Teenage Dream,Katy Perry,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741,2.563953488372093
9/8/01,"Hanging By A Moment, Lifehouse",Hanging By A Moment,Lifehouse,0.541,0.864,1,-4.915,1,0.0357,0.00118,0,0.0896,0.435,124.557,216067,2.5489510489510487
9/27/03,"The Way You Move, OutKast",The Way You Move,OutKast,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,234000,2.5182119205298013
9/8/07,"Big Girls Don't Cry, Fergie",Big Girls Don't Cry,Fergie,0.707,0.642,7,-4.271,1,0.0337,0.204,0,0.0925,0.249,113.083,268120,2.5098039215686274
9/8/07,"Crank That (Soulja Boy), Soulja Boy Tell'em",Crank That (Soulja Boy),Soulja Boy Tell'em,0.736,0.74,0,-2.18,1,0.0786,0.515,0,0.0468,0.803,140.141,221933,2.491484184914842
9/5/09,"Need You Now, Lady Antebellum",Need You Now,Lady Antebellum,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,2.4896265560165975
9/7/02,"Hot In Herre, Nelly",Hot In Herre,Nelly,0.956,0.745,11,-4.753,0,0.12,0.206,0,0.0615,0.912,107.075,228240,2.485294117647059
6/9/01,"Again, Lenny Kravitz",Again,Lenny Kravitz,0.55,0.804,2,-5.218,1,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,231667,2.476780185758514
9/4/10,"Just A Dream, Nelly",Just A Dream,Nelly,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,237800,2.4700854700854697
9/4/10,"Just The Way You Are, Bruno Mars",Just The Way You Are,Bruno Mars,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,2.463687150837989
8/9/08,"Low, Flo Rida",Low,Flo Rida,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,231400,2.4615384615384617
9/4/10,"Airplanes, B.o.B",Airplanes,B.o.B,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,180480,2.4456521739130435
9/6/08,"Viva La Vida, Coldplay",Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,2.424044734389562
9/7/02,"Dilemma, Nelly",Dilemma,Nelly,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,2.4166666666666665
4/7/01,"It Wasn't Me, Shaggy",It Wasn't Me,Shaggy,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,227600,2.4096385542168677
9/8/01,"How You Remind Me, Nickelback",How You Remind Me,Nickelback,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,223840,2.370187561697927
9/5/09,"You Belong With Me, Taylor Swift",You Belong With Me,Taylor Swift,0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,231124,2.358490566037736
8/4/07,"Girlfriend, Avril Lavigne",Girlfriend,Avril Lavigne,0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,216600,2.351020408163265
9/4/10,"Love The Way You Lie, Eminem",Love The Way You Lie,Eminem,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373,2.3496240601503757
9/8/01,"Family Affair, Mary J. Blige",Family Affair,Mary J. Blige,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867,2.3477653631284916
5/5/01,"The Way You Love Me, Faith Hill",The Way You Love Me,Faith Hill,0.627,0.716,2,-7.175,1,0.0352,0.127,0,0.0344,0.734,101.99,186067,2.342629482071713
9/6/08,"Disturbia, Rihanna",Disturbia,Rihanna,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,238627,2.328231292517007
9/3/05,"We Belong Together, Mariah Carey",We Belong Together,Mariah Carey,0.837,0.462,0,-7.89,1,0.0601,0.0339,0,0.09,0.762,139.986,201400,2.3228643216080402
7/3/10,"Bad Romance, Lady Gaga",Bad Romance,Lady Gaga,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,2.253411306042885
9/4/10,"California Gurls, Katy Perry",California Gurls,Katy Perry,0.788,0.753,0,-3.71,1,0.0536,0.0038,0,0.18,0.403,125.005,234653,2.25
9/3/05,"Since U Been Gone, Kelly Clarkson",Since U Been Gone,Kelly Clarkson,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131,188960,2.239153439153439
4/9/05,"Drop It Like It's Hot, Snoop Dogg",Drop It Like It's Hot,Snoop Dogg,0.888,0.632,1,-3.872,1,0.219,0.19,0,0.101,0.662,91.979,266067,2.2167487684729066
9/8/07,"Before He Cheats, Carrie Underwood",Before He Cheats,Carrie Underwood,0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,199947,2.212857914640735
9/6/03,"Unwell, matchbox twenty",Unwell,matchbox twenty,0.256,0.788,6,-5.263,0,0.0403,0.0298,0,0.707,0.429,80.718,228707,2.1974378296910326
9/8/07,"Apologize, Timbaland",Apologize,Timbaland,0.657,0.604,8,-6.006,1,0.0296,0.0361,0,0.102,0.0779,118.042,184400,2.195825049701789
9/4/10,"OMG, Usher",OMG,Usher,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,2.1951219512195124
3/8/03,"Lose Yourself, Eminem",Lose Yourself,Eminem,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467,2.1769547325102883
9/4/10,"Hey, Soul Sister, Train","Hey, Soul Sister",Train,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,2.1761194029850746
9/5/09,"Down, Jay Sean",Down,Jay Sean,0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,212507,2.1621621621621623
9/4/04,"Burn, Usher",Burn,Usher,0.796,0.477,1,-7.161,1,0.108,0.314,0,0.12,0.685,119.928,231933,2.132701421800948
4/7/01,"Kryptonite, 3 Doors Down",Kryptonite,3 Doors Down,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933,2.12
9/6/03,"Here Without You, 3 Doors Down",Here Without You,3 Doors Down,0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,238733,2.118078175895765
9/6/03,"Baby Boy, Beyonce",Baby Boy,Beyonce,0.655,0.488,1,-9.17,1,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827,2.1025
9/8/07,"Stronger, Kanye West",Stronger,Kanye West,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311867,2.1008645533141213
9/5/09,"Boom Boom Pow, The Black Eyed Peas",Boom Boom Pow,The Black Eyed Peas,0.875,0.604,6,-9.705,0,0.0921,0.000222,0.861,0.152,0.623,129.966,254769,2.0822179732313577
9/6/08,"Bleeding Love, Leona Lewis",Bleeding Love,Leona Lewis,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,262467,2.0778688524590163
9/6/08,"Forever, Chris Brown",Forever,Chris Brown,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573,2.0625
9/4/04,"This Love, Maroon 5",This Love,Maroon 5,0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,206200,2.0521642619311877
5/8/04,"Hey Ya!, OutKast",Hey Ya!,OutKast,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,2.048
9/6/08,"Whatever You Like, T.I.",Whatever You Like,T.I.,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,249533,2.0446808510638297
3/3/01,"Case Of The Ex (Whatcha Gonna Do), Mya",Case Of The Ex (Whatcha Gonna Do),Mya,0.774,0.684,1,-4.721,0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,236827,2.0408163265306123
6/4/05,"Let Me Love You, Mario",Let Me Love You,Mario,0.622,0.593,7,-8.352,0,0.0916,0.163,0,0.0979,0.607,94.364,249093,2.034536891679749
9/4/04,"She Will Be Loved, Maroon 5",She Will Be Loved,Maroon 5,0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102,259453,2.0326481257557436
9/6/03,"Crazy In Love, Beyonce",Crazy In Love,Beyonce,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,236133,2.030640668523677
7/9/05,"1, 2 Step, Ciara","1, 2 Step",Ciara,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,2.0039525691699605
9/8/07,"The Way I Are, Timbaland",The Way I Are,Timbaland,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,179120,2.002773925104022
9/4/04,"The Reason, Hoobastank",The Reason,Hoobastank,0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,232800,1.9944751381215469
9/4/10,"Break Your Heart, Taio Cruz",Break Your Heart,Taio Cruz,0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,186267,1.9928909952606635
9/5/09,"Party In The U.S.A., Miley Cyrus",Party In The U.S.A.,Miley Cyrus,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,1.9898477157360408
8/2/03,"In Da Club, 50 Cent",In Da Club,50 Cent,0.902,0.72,6,-2.776,0,0.347,0.26,0,0.0749,0.805,90.059,193467,1.9867549668874174
4/4/09,"Live Your Life, T.I.",Live Your Life,T.I.,0.375,0.862,11,-3.363,0,0.255,0.071,0,0.211,0.478,159.841,338853,1.9797979797979797
9/8/01,"Drops Of Jupiter (Tell Me), Train",Drops Of Jupiter (Tell Me),Train,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,259933,1.9767769176636172
9/4/04,"Breakaway, Kelly Clarkson",Breakaway,Kelly Clarkson,0.446,0.701,9,-4.179,0,0.0295,0.0298,8.89e-06,0.0931,0.394,159.958,237000,1.968372093023256
9/7/02,"Wherever You Will Go, The Calling",Wherever You Will Go,The Calling,0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,208600,1.9622093023255816
9/3/05,"Gold Digger, Kanye West",Gold Digger,Kanye West,0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,207627,1.9575289575289574
9/7/02,"A Thousand Miles, Vanessa Carlton",A Thousand Miles,Vanessa Carlton,0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,237493,1.9569266589057044
9/6/08,"Lollipop, Lil Wayne",Lollipop,Lil Wayne,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,299333,1.9551122194513715
9/6/08,"So What, P!nk",So What,P!nk,0.534,0.87,11,-3.078,0,0.0425,0.000334,0,0.241,0.462,126.019,215160,1.953252032520325
6/4/05,"Disco Inferno, 50 Cent",Disco Inferno,50 Cent,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018,214227,1.9467592592592595
