date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/7/83,"Beat It, Michael Jackson",Beat It,Michael Jackson,0.776,0.867,3.0,-3.704,0.0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,258040.0,0.9124087591240877
8/1/83,"Maneater, Daryl Hall John Oates",Maneater,Daryl Hall John Oates,0.724,0.498,11.0,-13.083,0.0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,273173.0,0.9104991394148021
9/1/82,"Start Me Up, The Rolling Stones",Start Me Up,The Rolling Stones,0.631,0.932,5.0,-4.142,1.0,0.0354,0.0436,0.137,0.0918,0.971,122.429,213067.0,0.9070866141732283
9/4/83,"Billie Jean, Michael Jackson",Billie Jean,Michael Jackson,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0153,0.036,0.847,117.046,293827.0,0.9056603773584906
9/7/83,"She Works Hard For The Money, Donna Summer",She Works Hard For The Money,Donna Summer,0.758,0.638,8.0,-13.01,0.0,0.0378,0.00486,0.0141,0.0938,0.984,136.502,320840.0,0.9036885245901639
8/5/82,"Ebony And Ivory, Paul McCartney And Stevie Wonder",Ebony And Ivory,Paul McCartney And Stevie Wonder,0.661,0.525,11.0,-10.939,1.0,0.0314,0.296,0.0,0.0445,0.766,80.685,225747.0,0.9024999999999999
9/1/82,"Arthur's Theme (Best That You Can Do), Christopher Cross",Arthur's Theme (Best That You Can Do),Christopher Cross,0.526,0.515,9.0,-11.169,1.0,0.0389,0.169,0.000816,0.181,0.518,136.543,234493.0,0.9014084507042254
9/6/90,"Poison, Bell Biv DeVoe",Poison,Bell Biv DeVoe,0.84,0.56,6.0,-10.53,0.0,0.21,0.00195,0.00417,0.633,0.775,111.815,261853.0,0.9013035381750465
9/11/85,"Say You, Say Me, Lionel Richie","Say You, Say Me",Lionel Richie,0.636,0.405,8.0,-11.113,1.0,0.0287,0.355,0.0,0.0804,0.257,128.068,241067.0,0.900900900900901
8/8/81,"Queen Of Hearts, Juice Newton",Queen Of Hearts,Juice Newton,0.658,0.862,2.0,-9.963,1.0,0.0535,0.211,5.44e-05,0.2,0.969,169.532,205827.0,0.8804347826086957
9/4/83,"Do You Really Want To Hurt Me, Culture Club",Do You Really Want To Hurt Me,Culture Club,0.744,0.376,4.0,-14.996,0.0,0.0366,0.0815,0.0,0.108,0.42,100.78,262173.0,0.8802816901408451
8/10/83,"Total Eclipse Of The Heart, Bonnie Tyler",Total Eclipse Of The Heart,Bonnie Tyler,0.431,0.723,8.0,-5.887,1.0,0.0568,0.145,0.0,0.374,0.19,130.141,267360.0,0.8787878787878788
